degree,specialization,skills,cgpa,certificate,job_role
B.Com,Costing,Accounting Skills;Finance related skills,65,No,Asst finance manager
BE,Automobile Engineering,"Python, People Management, Communication Skills, Work under Pressure, Leadership, Creativity Skills, Team work",83.125,No,Digital/Social Media Marketer
BE,Electrical and Electronics Engineering,Python,73.72,Yes,CIS 
B.Tech,Electronics & Telecommunications ,C#;.NET Framework;Python ;C ;Transact-SQL (T-SQL),85.5,Yes,"
Programmer Analyst"
B.Tech,Electrical and Electronics Engineering,NO,76,No,Assistant system engineer trainee
B.Com,Commerce,"Accounting Skills, Critical Thinking, Analytic Thinking, Business Knowledge, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Risk Managing, Reporting",76.95,Yes,Operations Management 
B.Tech,Programming,"Active Listening, Programming, Work under Pressure, Teamwork,Excel,Logical Skills Interpersonal Skills, Presentation skills, Reading",70.3,No,SQL Developer
B.Tech,Finance,"ML, Python, SQL",68.4,No,Student (Unemployed)
B.E,Computer Science Engineering,"Active Listening, Analytic Thinking, Business Knowledge, Work under Pressure, Team work, Presentation Skills, Writing, Observation Skills, Risk Managing, Reading, Subject Knowledge",74.1,Yes,Front End Developer
B.Tech,Automobile Engineering,Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL,79.8,Yes,Data Analyst 
B.Tech,Computer Applications,Programming Language skills;People management;Designing skills;Social Media Marketing;Interpersonal skills;Good communication skills,33.25,No,Software engineer
BCA,BiotechNAlogy ,Business Knowledge;Product knowledge;Problem Solving skills;Risk management skills;Sales;Client management,70,No,"Listing, Marketting , Stocking and Selling"
B.Tech,"Computer ( Languages like  .. C, C++ ,  Java,  C# ) ",Java Enterprise Edition;Hibernate;Zuul API Gateway;Spring Cloud;Apache ZooKeeper;Amazon EC2;Zoho;Oracle CRM;Spring Boot;Spring MVC;Docker;Apache Drill;Angular,81.7,Yes,AWS Architect
B.Com,Computer Science Engineering,"Accounting Skills, Business Knowledge, Negotiation Skills, Work under Pressure, Interpersonal Skills",75,Yes,Articleship 
B.Tech,Commerce,"Python, Java",65.55,No,Java Developer
Doctor ,Electronics and communication engineering,Writing skills;Medical knowledge,89,No,Dental surgeon 
B.Tech,Dental surgeon ,"
Altium Designer;Printed Circuit Board (PCB) Design;NI LabVIEW; Digital electronics semiconductors;Arduino;Xilinx Vivado;Verilog;KiCAD;NI Multisim;Eagle PCB;Electronic Circuit Design;Altium CircuitMaker;Internet of Things (IoT);Electronics Hardware Design;OrCAD Capture CIS;OrCAD",76.95,Yes,Hardware PCB Design Engineer
BA,Electronics and Communication Engineering,HR;Good communication skills,70,No,HR executive
BE,IRPM,Accounting Skills;Active Listening;Hardware skills;Critical Thinking;People management;Communication skills;Leadership;Designing skills;Writing skills,63.27,Yes,Production field
BE,Mathematics,People management;Leadership;Problem Solving skills,64.125,No,Production Supervisor 
B.Tech,Computer Science Engineering,"AI, ML, Critical Thinking, Analytic Thinking, Civil & Criminal Law, Work under Pressure, Leadership, Problem Solving skills",78.85,No,Student (Unemployed)
B.Sc,Computer Science Engineering,"Python, Programming, Communication Skills, Leadership, C++, Writing, Observation Skills",77.995,No,Computer Software Engineer
B.Tech,Computer Science Engineering,IBM QRadar;OWASP;Ethical Hacking;Threat & Vulnerability Management;Splunk;Vulnerability Scanning;Malware Analysis;Tenable Nessus;ePolicy Orchestrator;Metasploit;Burp Suite;Security Information and Event Management (SIEM);,75.905,Yes,"
Cyber Security Analyst"
B.A.F,Electronics & Telecommunications ,"Accounting Skills, Active Listening, Cost Accounting, Market Study, Excel, Logical Skills, Problem Solving skills, Writing, Sales, Building Rapport",75.05,No,Account Assistant 
B.Tech,Mechanical engineering ,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence,68.3,Yes,Python instructor
B.Tech,Electronics and Communication Engineering,Gathering Information;Business Knowledge;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Mass Communication;Leadership,72,Yes,Crime reporter 
M.A,Mathematics ,"Critical Thinking, Artistic skills, Communication Skills, Editing, Interpersonal Skills, Reporting, Reading, Subject Knowledge",83,Yes,Teacher
B.Com,Psychology,Team work,57.95,No,Stock Trader
BBA,Accountancy,"Python, Gathering Informing, Business Knowledge",95,No,Mechanical Engineer
B.Tech,Communication & Political Science,NO,85.5,No,Software Developer Executive
B.Tech,Computer Science Engineering,"Editing, Writing, Observation Skills, Reading",65,No,Student (Unemployed)
B.Tech,History,"Editing, Writing, Observation Skills, Reading",65,No,Student (Unemployed)
B.Tech,History,NO,74.1,No,graduatee engineer
B.Sc,Electrical and Electronics Engineering,"Active Listening, Communication Skills, Leadership, Creativity Skills, Presentation Skills, Problem Solving skills, Writing, Tableau, Reading, Subject Knowledge",84.645,Yes,Student (Unemployed)
B.Sc,Mathematics ,Accounting Skills;Programming Language skills;Editing;Writing skills;Python;HR;Good communication skills,63.365,Yes,Senior assistant delivery coordinator 
BCA,Mathematics ,SQL;Java;Javascript,69.92,Yes,Programmer 
B.Tech,Computer Applications ,Active Listening;Designing skills;Python,67,Yes,Modeler 
BE,Mechanical Engineering,Data Visualization skills( Power Bi/ Tableau );Python;SQL;Client management;Good communication skills,54.15,No,BA
BE,Mechanical Engineering,Accounting Skills;Finance related skills;People management;Civil & Criminal Law,67.4,Yes,Quality Engineer
B.Tech,Mechanical Engineering,Business Analytics;Risk Analytics;SAS;Marketing Management;Market Research;Business Strategy;CommercialBanking;Portfolio Management;Supply Chain Management;Business Process Reengineering;Consumer Behaviour;Long-term Customer Relationships;Retail Marketing;Financial Accounting;credit risk modeling;Security Analysis;Working Capital Management;trategic Marketing;Investment Banking;Structured Finance,73.72,Yes,Investment Banking Analyst
B.Tech,Computer Software Engineer,"Critical Thinking, Analytic Thinking, Business Knowledge, SQL, Programming, Communication Skills, Work under Pressure, Editing, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Tableau, Building Rapport",82.175,No,Computer Software Engineer
BA,Finance ,Artistic/Creative Skills;Communication skills;Mass Communication;Writing skills;Content creation,66.5,No,Journalist 
Bachelor of journalism,Arts,Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Mass Communication;Editing;Writing skills;Content creation,75,Yes,Junior sub editor
Master of journalism,Journalism,Active Listening;People management;Communication skills;Leadership;Editing;Social Media Marketing,71.25,No,Content Creator
B.Com,Arts,Active Listening;Business Knowledge;Communication skills;Product knowledge,66,Yes,Project Coordinator
B.Tech,Statistics,"AI, ML, Python, Java",73.15,No,Java Developer
Diploma,Electronics and Communication Engineering,Designing skills;Machine Learning skills;Social Media Marketing,81,No,DET
BE,Mechanical Engineering,People management;Leadership,65.55,No,Mechanical Supervisor 
BE,Mechanical Engineering ,Leadership;Product knowledge;Sales,63.175,No,Quality Engineer 
B.Tech,Chemistry,Civil & Criminal Law,70,No,Civil engineer
MCA,Computer Science Engineering,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Editing;Problem Solving skills;Risk management skills;Python;SQL;Java;Good communication skills,72.2,Yes,Test Analyst
B.Tech,Accountancy,Critical Thinking;Gathering Information;Analytical Skills;People management;Communication skills;Negotiation skills;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Interpersonal skills;C++;Presentation Skills;R;Python;SQL;Client management;Good communication skills;Teaching;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);Programming Language C,76,No,Senior PMO - Data Analyst
BE,Mechanical Engineering,Analytical Skills;Leadership;Social Media Marketing,71.155,No,Design Engineer 
B.E,Mechanical Engineering ,"Accounting Skills, Gathering Informing, Business Knowledge, People Management, Product Knowledge, Excel, Observation Skills",65.55,Yes,Site engineer
BE,Engineering,Programming Language skills;Wealth Management;Python,70.3,No,Developer 
B.Sc,Computer Science ,"AI, Python",77.9,No,Computer Software Engineer
BE,Mechanical Engineering,Active Listening;People management;Leadership,71.25,No,Store keeper
BE,Management,"Accounting Skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;Civil & Criminal Law;Mass Communication;Editing;Product knowledge;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;C++;Presentation Skills;Python;Content creation;Medical knowledge;Java;HR;Proeficiency in Software like STAAD PRO, ETABS",69,No,Sales
B.Tech,Computer Science Engineering,Programming Language skills;Finance related skills;Editing;C++;Python;Artificial Intelligence;SQL;Java,62,No,Associate consultant 
B.Tech,Computer Science Engineering,"Team work, Excel, Logical Skills, C++, Problem Solving skills, Writing",71.25,No,Student (Unemployed)
B.Tech,Information TechNAlogy,Hardware skills;PLC/SCADA/VLSI/DCS,85.69,Yes,Instrumentation and Control Engineer 
B.Tech,Electronics and Communication Engineering,"Creativity Skills, Team work, Programming",68.4,Yes,Java Full Stack Developer
B.Tech,Civil Engineering,"AI, ML, Python",74.1,No,Student (Unemployed)
B.Tech,Pharmacy,"Proeficiency in Software like STAAD PRO, ETABS",79.8,Yes,Civil & Structural Engineer
B.Sc,Civil,Programming,62,No,Tele-caller
B.Tech,Computer Science Engineering,Javascript,95,Yes,Associate Consultant
M.Sc,MATHEMATICS,Communication Skills,78.85,No,Chemist in pharmaceutical
BE,Chemistry,"Gathering Informing, Leadership, Market Study, Team work",83.6,No,Design Engineer
B.Tech,Automobile Engineering,"Accounting Skills, Communication Skills, Editing, Excel, Presentation Skills, Writing, Reading, Subject Knowledge",70,No,Student (Unemployed)
BE,Mathematics,"Programming, Logical Skills, Observation Skills",84.55,No,Back End Developer
B.Tech,Automobile Engineering,"Accounting Skills, Active Listening, Gathering Informing, Java, SQL, Programming, Communication Skills, Work under Pressure, News Gathering, Editing, Product Knowledge, Excel, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Observation Skills, Building Rapport",78.565,Yes,Java Developer
B.Tech,Computer Science Engineering,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );C++;Python;SQL;Java;AWS,80.75,Yes,Software Engineer
B.Tech,Information Technology,"ML, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Leadership, Product Knowledge, Team work, Excel",74.1,Yes,Computer Software Engineer
B.E,Accountancy,"Programming, Communication Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Mass Communication, Writing, Reading, Designing Skills, Sales",83.315,No,Business developer
B.E,Physics,Designing Skills,72.2,Yes,Student (Unemployed)
B.Tech,"Mathematics, Statistics and Computer science",C++;Python;SQL;Java;Architecture;PHP,79.8,Yes,Mobile Application Developer
B.Com,Computer Science Engineering,"Accounting Skills, Business Knowledge, People Management, Work under Pressure, Cost Accounting, Reading",69,No,Chartered Accountant
B.Tech,Accountancy,NO,85.5,No,Software Developer
MBA,Computer Science Engineering,Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Leadership;Designing skills;Machine Learning skills;Sales;Social Media Marketing;Artificial Intelligence;Good communication skills;Us & Canada Recruitment (IT);AWS;PHP,55,Yes,Web Developer and Digital Marketer
Master of journalism ,EcoNAmics,Editing,59,No,Sub-editor 
Pharmacy,Information Science,"Sales, Subject Knowledge",60,Yes,Medical Practitioner
D ed,Vedio editing ,"Reading, Sales",57,Yes,Teacher
B.Tech,Computer Applications,Python; C++; problem solving ;KIVY; competitive programming; data structures ;backend web development ;spring boot; spring framework,87.59,Yes,Software Developer
BBA,Statistics,Leadership,69,No,Tele-caller
MCA,Computer Science Engineering,Analytical Skills;Communication skills;Product knowledge;Risk management skills;Good communication skills,45,No,Customer service 
Hh,Accountancy,People Management,69.35,Yes,Business Analyst
BBA,EcoNAmics,Business Knowledge;Finance related skills;Communication skills;Leadership;Interpersonal skills,78.185,Yes,Business Analyst
B.Tech,"C, C++, Java, SQL, MySQL, Unix, HTML, Mathematics, Statistics","Proeficiency in Software like STAAD PRO, ETABS",71.25,Yes,Civil & Structural Engineer
B.Tech,Civil Engineering,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL,74.1,Yes,Data Analyst 
B.Sc,Computer Science Engineering,Active Listening;Critical Thinking;Gathering Information;People management;Communication skills;Mass Communication;Editing;Problem Solving skills;Writing skills;Content creation,78,No,Catalog Associate
B.Com,Chemistry,"People Management, Communication Skills, Writing, Observation Skills, Reporting",76,No,Student (Unemployed)
B.Com,Botany,"AI, ML, Python",57.475,Yes,Student (Unemployed)
B.Tech,Accounting ,Data Visualization skills( Power Bi/ Tableau );C++;Linux;Python;Artificial Intelligence;SQL,88.73,Yes,Business Analyst
B.Tech,Political science ,Java,58.615,No,Software Engineer
B.Tech,Computer Science Engineering,NO,78.85,No,Software developer
B.E,Cse,"Critical Thinking, Gathering Informing, Leadership, Team work, Risk Managing",74.1,No,Managing director 
Diploma,Automobile Engineering,Hardware skills;Analytical Skills;Communication skills;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills,60,No,Mechanical design Engineer
B.Tech,N.A,"Analytic Thinking, SQL, Oracle, Programming, Communication Skills, Interpersonal Skills",70.775,No,Computer Software Engineer
B.Tech,Building material and construction ,"Accounting Skills, Cost Accounting",58,No,Data Analyst
B.Tech,Computer Science Engineering,"Java, SQL, Programming, Team work",75.81,No,Computer Software Engineer
B.Tech,Computer Applications,"Creativity Skills,Leadership,Market Study, Teamwork, Programming",78.85,Yes,Java Developer
BE,Computer Science Engineering,"ML, Python, Analytic Thinking, SQL, Excel, Problem Solving skills, Tableau, Risk Managing",69.065,Yes,Data Analyst
B.Tech,Engineering,mechanical maintenance,80.75,Yes,Maintenance Engineer-Mechanical
BCA,Mechanical Engineering,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Machine Learning skills;Social Media Marketing;Interpersonal skills;Presentation Skills;Linux;Artificial Intelligence;SQL;Medical knowledge;Cloud Computing;HR,86,Yes,Video labeling(Artificial intelligence) and Medical Coding
M.Sc,Electronics and Instrumentation Engineering,"Accounting Skills, Python, Critical Thinking, Analytic Thinking, Business Knowledge, Communication Skills, Negotiation Skills, Leadership, Editing, Product Knowledge, Cost Accounting, Creativity Skills, Market Study, Team work, Derivatives, Logical Skills, C++, Problem Solving skills, Observation Skills, Risk Managing, Designing Skills, Building Rapport",68.4,No,Admin
BBA ,MathematicsÃ,"Team work, Reporting",65.55,Yes,Marketing Manager
MBA,Finance and HRÃ,"Leadership, C.I.T",65.55,Yes,Marketing Manager
BBA ,Business Administration,"Communication Skills, Leadership, Team work, Reporting",65.55,Yes,Marketing Manager
B.Tech,Sales & Marketing,Active Listening;Gathering Information;Artistic/Creative Skills;Editing;Problem Solving skills;SQL,60,Yes,Programmer
B.Tech,Computer science ,"Python, Artistic skills, SQL, Communication Skills, Editing, Excel, C++",60,Yes,Programmer
B.Sc,Computer Science Engineering,Critical Thinking;Business Knowledge;Analytical Skills;SQL,56.335,No,Senior Analyst
BE,Information Technology,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;Good communication skills,75,Yes,Quality Assurance 
BE,Computer Science Engineering,"Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Observation Skills, Sales",84.55,Yes,Business development associate
B.Tech,Automobile Engineering,Programming Language skills;R;Python;Programming Language C;SAS ,65,Yes,Statistical programmer
B.Tech,electronic ,Accounting Skills;Analytical Skills;Finance related skills;People management;Negotiation skills,66,No,Analyst 
B.Com,ECR,"Accounting Skills, Analytic Thinking, Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Cost Accounting, Team work, Excel, Interpersonal Skills, Problem Solving skills",68.59,No,Student (Unemployed)
B.Tech,Accountancy,"AI, ML, Python, Analytic Thinking, Gathering Informing, SQL, Team work, Excel, Tableau",66.5,Yes,Data Analyst
B.Tech,Computer Science Engineering,Active Listening;Business Knowledge;Lotus Notes,60,Yes,Lotus Notes Admin
B.Tech,CSIT,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;People management;Negotiation skills;SQL;HR;Client management;Us & Canada Recruitment (IT),57.08,Yes,"Senior Technical Recruiter, Recruitment Specialist, Talent Acquisition Specialist (IT)"
B.Tech,Electrical and Electronics Engineering,"Active Listening, Communication Skills, Designing Skills",79.8,No,Structural Engineer
B.Tech,Electrical and Electronics Engineering,NO,74.1,No,digital marketing reqruiter
B.Tech,Mechanical Engineering,"AI, ML, Python, Java, SQL, Oracle, Programming, Work under Pressure, Leadership, Product Knowledge, Team work, Logical Skills, Presentation Skills, C++, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",87.4,Yes,Computer Software Engineer
B.Tech,Computer Science Engineering,Linux,56.525,No,Linux Administrator
B.Sc,Electrical and Electronics Engineering,"Python, People Management, Leadership, Creativity Skills, Team work, Observation Skills, Risk Managing",88.92,Yes,Student (Unemployed)
BE,Commerce,"Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, Programming, Communication Skills, Work under Pressure, Leadership, C++, Problem Solving skills",88.16,Yes,Front End Developer
B.Tech,Automobile Engineering,Python,70,No,Mechanical Engineer
B.Tech,English,"Python, Java",61.75,No,Computer Software Engineer
B.Tech,Electronics and Communication Engineering,"Java, SQL",69,No,Student (Unemployed)
B.E,Electronics and Communication Engineering,"Leadership, Team work, Excel, Reading, Designing Skills",78.85,No,Analyst 
B.Tech,Automobile Engineering,Engineering,76,No,Mechanical Engineer
B.Com,Engineering,Accounting Skills,76,No,Housewife
BE,Commerce,Active Listening;Hardware skills;Programming Language skills;Communication skills;R;Python;SQL;MATLAB;Good communication skills,60,No,store assistant
B.E.,Computer Applications,"Critical Thinking, Analytic Thinking, Business Knowledge, Communication Skills, Negotiation Skills, Leadership, Creativity Skills, Team work, Interpersonal Skills, Problem Solving skills, Risk Managing, Designing Skills",80.75,Yes,Computer Software Engineer
BCA,Automobile Engineering,Active Listening;Programming Language skills;Critical Thinking;Designing skills;SQL;Java;Cloud Computing,73.15,Yes,Software engineer
B.Tech,electrical engineering,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence,66.5,Yes,Developer 
BE,Electronics and Communication Engineering,"ML, Critical Thinking, Analytic Thinking, Gathering Informing, Communication Skills, Work under Pressure, Writing",80.75,No,Engineer
B.E,Civil Engineering,"Business Knowledge, Product Knowledge, Team work, Reading, Building Rapport",65.835,No,Sales Executive
BE,Automobile Engineering,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;SQL,67,Yes,Executive Engineer 
BE,"Electrical, Electronics and Power Engineering ",Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Problem Solving skills;Machine Learning skills;Presentation Skills;R;Python;SQL,67,Yes,Executive Engineer 
B.Tech,"Electrical, Electronics and Power Engineering ","Gathering Informing, Product Knowledge",64.125,Yes,Network engineer
B.Tech,Information TechNAlogy,Gathering Information;Business Knowledge;Analytical Skills;Designing skills;Presentation Skills;Content creation,71.345,Yes,Product development associate
B.Com,Mechanical Engineering,Analytical Skills;People management;Communication skills;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python;MATLAB,43,No,Team lead in Mortgage banking;
B.Com,Insurance ,"Business Knowledge, Leadership, Team work, Problem Solving skills",73.625,No,Business Analyst
B.Tech,Commerce,"Active Listening, Work under Pressure,Teamwork,Interpersonal Skills, Presentation skills, Reading",71.25,No,Teaching
B.Tech,Computer Science Engineering,"Business Knowledge, SQL, Programming, People Management, Communication Skills, Work under Pressure, Editing, Creativity Skills, Team work, Excel, Linux, Problem Solving skills, Observation Skills, Reading",71.25,Yes,Dot net Developer
B.Tech,Information TechNAlogy,"Business Knowledge, People Management, Work under Pressure, digital marketing",66.5,Yes,Digital/Social Media Marketer
Diploma,Information TechNAlogy,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Communication skills;Leadership;Good communication skills;Teaching,78,Yes,Receptionist in coaching center
B.Tech,Geography ,Hardware skills,82.91,Yes,Web Developer
B.Com,Mining,Artistic/Creative Skills,68,Yes,Dancing 
B.Com,EcoNAmics ,Artistic/Creative Skills,68,Yes,Dancing 
BBA,EcoNAmics ,"
SAP Successfactors;Financial Modeling;Corporate Finance;Equity Research;Financial Statement Analysis;Business Model Development;Financial Forecasting;Business Model InnovationBusiness Strategy",76.57,Yes,Financial Analyst
B.Tech,Finance,"
Cell Culture;Microbiology;Molecular Genetics;Microbial Genetics;Proteomics;PCR;Bioinformatics;ELISA;qRT-PCR;Mammalian Cell Culture;RNA Isolation;Site-directed Mutagenesis;Molecular & Cellular Biology;Immunology;Cell Biology;DNA Extraction",86.45,Yes,Research Fellow
B.Sc,Biotechnology,"Python, SQL, Programming",84.835,No,Data Analyst
B.Tech,Computer Science Engineering,"Python, Analytic Thinking, Java, Oracle, Editing, C++, Problem Solving skills",77,No,Not working 
BE,Computer Science Engineering,Communication skills;Negotiation skills;Product knowledge;Designing skills,69.35,Yes,Design Engineer 
B.Tech,Mechanical engineering ,Accounting Skills;Risk management skills;Designing skills;Writing skills,77.55,Yes,Assistent Engineer
BE,Mechanical Engineering,Active Listening;Business Knowledge;People management;Communication skills;Leadership;Designing skills;Writing skills;Social Media Marketing;Hospitality;Good communication skills;Teaching;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);mechanical maintenance;Excel,75.05,No,Project Manager
B.Tech,Automobile Engineering,"AI, ML, Python",56,Yes,ML Engineer
BE,Computer Science Engineering,"Editing, Excel, PowerBI",74.1,No,Data Analyst
B.Tech,Civil Engineering,"Python, Java, SQL",77.9,No,Associate Professional 
BE,Engineering,"AI, Business Knowledge, Team work, Problem Solving skills",63.365,No,Student (Unemployed)
B.Tech,Automobile Engineering,html;c;PHP;CSS;Drupal;Javascript;MSSQL;jQuery;NetBeans;MySql;Ajax;XML,83.6,Yes,Web Developer
B.Tech,Computer Science Engineering,Cell culture ;plant tissue culture; environmental biotechnology; microbiology ;nanomaterials ;nanoparticles;nanobiotechnology; gas chromatographyHigh-Performance Liquid Chromatography (HPLC); electrospinning; mammalian cell culture ;bacterial culture; ndds ;chromatography;Tissue culture;UV/Vis Spectroscopy,71.25,Yes,"
Research Associate"
B.Tech,Biotechnology,Integrated Circuits;Lead Generation;Android and IOS App Developer;Aurdino,86.45,Yes,Electronics  Engineer- Research Analyst
B.Com,Electronics & Telecommunications Engineering,"Work under Pressure, Excel, Sales",50,No,MIS Executive 
B.Tech,Computer Applications,NO,76,No,graduate trainee
B.Sc,Computer Science Engineering,Business Knowledge;Finance related skills;SQL;Java,70,No,HDFC BANK 
B.Tech,Computer science ,Good Manufacturing Practice (GMP);Hazard Analysis and Critical Control Points (HACCP);Food Safety;Quality Assurance;Problem Solving;Critical Thinking;Food Microbiology;Food Technology,87.875,Yes,"
Lab Technician -Food Safety & Quality"
BALLB,Biotechnology,Critical Thinking;Civil & Criminal Law,67.64,Yes,Legal Associate 
B.Tech,Law,Data Visualization skills( Power Bi/ Tableau );SQL,77,No,Power
B.Tech,Electronics and Communication Engineering,Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Python;SQL;Java,79.515,Yes,Data Analyst
BE,Computer Science & Engineering,Business Knowledge;Communication skills;Designing skills;Writing skills;Machine Learning skills,68.4,No,Still working jbm auto pvt Ltd company Engineering quality department
B.Sc,Engineering graphics,"ML, Python, Java, SQL, C++, Linux",65.55,Yes,Student (Unemployed)
B.Tech,Computer Science Engineering,"Business Knowledge, Java, SQL, Excel, Reporting",75.05,Yes,Business Analyst
B.Tech,Information Technology,"SQL, C++",86,No,Software
B.Tech,Electrical and Electronics Engineering,"Active Listening, ML, Python, Analytic Thinking, SQL, Programming, Communication Skills, Creativity Skills, Team work, Logical Skills, Tableau, Reading",73.055,Yes,Assistant Professor
BE,Mechanical Engineering,"ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Java, SQL, Programming, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, C++, Problem Solving skills, Reading",64.6,Yes,Request Proposal Manager
B.E ,Communication & Political Science,"ML, Python, SQL, Oracle, Tableau",62,Yes,Back End Developer
B.Tech,Computer Science Engineering,Gathering Information;Business Knowledge;People management;Communication skills;Leadership;Sales,64,No,Business Development Manager
B.Sc,Chemical engineering,"Artistic skills, Business Knowledge, Communication Skills, Creativity Skills, Interpersonal Skills, Presentation Skills, Writing, Observation Skills, Reading, Subject Knowledge",80.75,Yes,Student (Unemployed)
Poo.sc,Psychology,Sales,53,No,Sales Executive
B.Tech,Political science,"Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Editing, Team work, Excel, Presentation Skills, Reading, Designing Skills",80.75,No,Traniee
B.Tech,Mechanical Engineering,Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Writing skills;C++;MATLAB;Good communication skills,66.595,Yes,Associate Engineer - Controls & Software
BE,Electronics and Communication Engineering,"Java, SQL, Oracle, Programming, Problem Solving skills",78.375,No,Back End Developer
B.Tech,Automobile Engineering,"Business Knowledge, People Management, Work under Pressure, Leadership, Team work, Interpersonal Skills, Wealth Management, Risk Managing",67.45,Yes,SAFETY OFFICER
B.Tech,Automobile Engineering,Active Listening;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Presentation Skills,87.4,Yes,Project Manager
MCA,Computer Science Engineering,Programming Language skills,94.05,No,Developer
B.Sc,Computer,"Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Negotiation Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Market Study, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Observation Skills, Risk Managing, Reading",73.53,No,Student (Unemployed)
B.Tech,Computer Science Engineering,"Active Listening, ML, Python, Analytic Thinking, Gathering Informing, Java, SQL, Programming, People Management, Communication Skills, Work under Pressure, Leadership, Editing, Creativity Skills, Team work, C++, Linux, Reading, Building Rapport, Subject Knowledge",82.555,No,Student (Unemployed)
BE,Computer Science Engineering,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Python;Artificial Intelligence;SQL,74.1,Yes,Data scientist
Chartered Accountancy,Mechanical Engineering,"Accounting Skills, AI, Business Knowledge, Work under Pressure, Leadership, Team work, Excel, Risk Managing, Reporting",85.5,No,Chartered Accountant
M.Tech,Taxation & Law,Programming Language skills;Analytical Skills;Leadership,63,No,DATA ANALYST
B.Tech,Electronics and Instrumentation Engineering,NO,78.85,No,associate Engineer
B.Tech,Mechanical Engineering,"Python, Writing, Observation Skills, Reading, Subject Knowledge, C language",80,No,Student (Unemployed)
B.Tech,Electrical and Electronics Engineering,NO,78.85,No,associate Engineer
B.Com,Electrical and Electronics Engineering,"Accounting Skills, Excel",75.05,Yes,Student (Unemployed)
B.Tech,Commerce,NO,65.55,No,associate Engineer
